date,holiday_name
2024-12-23,Weihnachtsferien
2024-12-24,Weihnachtsferien
2024-12-25,Weihnachtsferien
2024-12-26,Weihnachtsferien
2024-12-27,Weihnachtsferien
2024-12-28,Weihnachtsferien
2024-12-29,Weihnachtsferien
2024-12-30,Weihnachtsferien
2024-12-31,Weihnachtsferien
2025-01-01,Weihnachtsferien
2025-01-02,Weihnachtsferien
2025-01-03,Weihnachtsferien
2025-01-04,Weihnachtsferien
2025-01-05,Weihnachtsferien
2025-03-01,Fasnachtsferien
2025-03-02,Fasnachtsferien
2025-03-03,Fasnachtsferien
2025-03-04,Fasnachtsferien
2025-03-05,Fasnachtsferien
2025-03-06,Fasnachtsferien
2025-03-07,Fasnachtsferien
2025-03-08,Fasnachtsferien
2025-03-09,Fasnachtsferien
2025-03-10,Fasnachtsferien
2025-03-11,Fasnachtsferien
2025-03-12,Fasnachtsferien
2025-03-13,Fasnachtsferien
2025-03-14,Fasnachtsferien
2025-03-15,Fasnachtsferien
2025-03-16,Fasnachtsferien
2025-04-12,Frühlingsferien
2025-04-13,Frühlingsferien
2025-04-14,Frühlingsferien
2025-04-15,Frühlingsferien
2025-04-16,Frühlingsferien
2025-04-17,Frühlingsferien
2025-04-18,Frühlingsferien
2025-04-19,Frühlingsferien
2025-04-20,Frühlingsferien
2025-04-21,Frühlingsferien
2025-04-22,Frühlingsferien
2025-04-23,Frühlingsferien
2025-04-24,Frühlingsferien
2025-04-25,Frühlingsferien
2025-04-26,Frühlingsferien
2025-04-27,Frühlingsferien
2025-06-28,Sommerferien
2025-06-29,Sommerferien
2025-06-30,Sommerferien
2025-07-01,Sommerferien
2025-07-02,Sommerferien
2025-07-03,Sommerferien
2025-07-04,Sommerferien
2025-07-05,Sommerferien
2025-07-06,Sommerferien
2025-07-07,Sommerferien
2025-07-08,Sommerferien
2025-07-09,Sommerferien
2025-07-10,Sommerferien
2025-07-11,Sommerferien
2025-07-12,Sommerferien
2025-07-13,Sommerferien
2025-07-14,Sommerferien
2025-07-15,Sommerferien
2025-07-16,Sommerferien
2025-07-17,Sommerferien
2025-07-18,Sommerferien
2025-07-19,Sommerferien
2025-07-20,Sommerferien
2025-07-21,Sommerferien
2025-07-22,Sommerferien
2025-07-23,Sommerferien
2025-07-24,Sommerferien
2025-07-25,Sommerferien
2025-07-26,Sommerferien
2025-07-27,Sommerferien
2025-07-28,Sommerferien
2025-07-29,Sommerferien
2025-07-30,Sommerferien
2025-07-31,Sommerferien
2025-08-01,Sommerferien
2025-08-02,Sommerferien
2025-08-03,Sommerferien
2025-08-04,Sommerferien
2025-08-05,Sommerferien
2025-08-06,Sommerferien
2025-08-07,Sommerferien
2025-08-08,Sommerferien
2025-08-09,Sommerferien
2025-08-10,Sommerferien
2025-09-27,Herbstferien
2025-09-28,Herbstferien
2025-09-29,Herbstferien
2025-09-30,Herbstferien
2025-10-01,Herbstferien
2025-10-02,Herbstferien
2025-10-03,Herbstferien
2025-10-04,Herbstferien
2025-10-05,Herbstferien
2025-10-06,Herbstferien
2025-10-07,Herbstferien
2025-10-08,Herbstferien
2025-10-09,Herbstferien
2025-10-10,Herbstferien
2025-10-11,Herbstferien
2025-10-12,Herbstferien
2025-12-20,Weihnachtsferien
2025-12-21,Weihnachtsferien
2025-12-22,Weihnachtsferien
2025-12-23,Weihnachtsferien
2025-12-24,Weihnachtsferien
2025-12-25,Weihnachtsferien
2025-12-26,Weihnachtsferien
2025-12-27,Weihnachtsferien
2025-12-28,Weihnachtsferien
2025-12-29,Weihnachtsferien
2025-12-30,Weihnachtsferien
2025-12-31,Weihnachtsferien
2026-01-01,Weihnachtsferien
2026-01-02,Weihnachtsferien
2026-01-03,Weihnachtsferien
2026-01-04,Weihnachtsferien
2026-02-14,Fasnachtsferien
2026-02-15,Fasnachtsferien
2026-02-16,Fasnachtsferien
2026-02-17,Fasnachtsferien
2026-02-18,Fasnachtsferien
2026-02-19,Fasnachtsferien
2026-02-20,Fasnachtsferien
2026-02-21,Fasnachtsferien
2026-02-22,Fasnachtsferien
2026-02-23,Fasnachtsferien
2026-02-24,Fasnachtsferien
2026-02-25,Fasnachtsferien
2026-02-26,Fasnachtsferien
2026-02-27,Fasnachtsferien
2026-02-28,Fasnachtsferien
2026-03-01,Fasnachtsferien
